0,1,2,3,0,1,2
d_int,d_est,lungh,compo_fascio,origine_x,origine_y,rotazione
30,36,210,6-7-8-9-8-7-6,100.3514083110324,87.56076026305179,parallela
33,35,720,6-7-8-9-8-7-6,99.18876947354576,86.47643358907811,parallela
33,40,500,5-6-7-8-7-6-5,97.84726312259966,85.62691453623978,parallela
33,44,126,5-6-7-8-7-6-5,101.50317760295559,81.91269330410536,perpendicolare
38,44,593,5-6-7-8-7-6-5,101.50317760295559,81.91269330410536,perpendicolare
38,46,593,5-6-7-8-7-6-5,96.25615584425003,83.43948822334846,perpendicolare
50,64,260,4-5-6-5-4,91.3132885263841,84.08781292110204,parallela
50.2,60,210,3-4-5-4,0,0,error
50.2,60,210,4-5-6-5-4,99.4602447854375,85.18923048454133,perpendicolare
51,55,450,4-5-6-5-4,102.26211410746545,82.11706170089263,perpendicolare
51,55,650,4-5-6-5-4,102.26211410746545,82.11706170089263,perpendicolare
33,36,220,6-7-8-9-8-7-6,100.3514083110324,87.56076026305179,parallela
33,37,225,6-7-8-9-8-7-6,98.2661485820342,83.18700908475527,perpendicolare
38,50,330,5-6-7-8-7-6-5,91.11558254832845,79.28076211353316,parallela
50,52.6,150,4-5-6-5-4,100.35685821913968,80.64242068474124,perpendicolare
50,56,400,4-5-6-5-4,101.79589468389949,85.94845356715713,parallela
26,30,500,6-7-8-9-8-7-6,105.15196366097892,90.49902885326976,parallela
26,30,700,6-7-8-9-8-7-6,105.15196366097892,90.49902885326976,parallela
30,36.5,220,6-7-8-9-8-7-6,100.9327277297757,88.10292360003861,parallela
33,38,280,6-7-8-9-8-7-6,99.3382066518189,84.12927405783631,perpendicolare
33,44,332,5-6-7-8-7-6-5,101.50317760295559,81.91269330410536,perpendicolare
45,49,140,5-6-7-8-7-6-5,90.45973499897701,78.6611468712625,parallela
50,58,350,4-5-6-5-4,98.09573662592291,83.96036297108184,perpendicolare
50,60,300,4-5-6-5-4,99.4602447854375,85.18923048454133,perpendicolare
50,64,300,4-5-6-5-4,91.3132885263841,84.08781292110204,parallela
50.2,60,400,4-5-6-5-4,99.4602447854375,85.18923048454133,perpendicolare
51,55,350,4-5-6-5-4,102.26211410746545,82.11706170089263,perpendicolare
51,61,520,4-5-6-5-4,100.14249886519477,85.80366424127108,perpendicolare
77,89,600,3-4-3,93.41924857022606,84.92287828104452,parallela
33,36,222,6-7-8-9-8-7-6,100.3514083110324,87.56076026305179,parallela
33,42,330,5-6-7-8-7-6-5,99.54962407554851,80.38589838486224,perpendicolare
41,45,500,5-6-7-8-7-6-5,95.43428289111415,82.67609076372692,perpendicolare
50,56,500,4-5-6-5-4,101.79589468389949,85.94845356715713,parallela
50,58,300,4-5-6-5-4,98.09573662592291,83.96036297108184,perpendicolare
50.2,60,315,3-4-5-4,0,0,error
50.2,60,315,4-5-6-5-4,99.4602447854375,85.18923048454133,perpendicolare
30,36.5,300,6-7-8-9-8-7-6,100.9327277297757,88.10292360003861,parallela
38,49,520,5-6-7-8-7-6-5,90.45973499897701,78.6611468712625,parallela
38,50,420,5-6-7-8-7-6-5,91.11558254832845,79.28076211353316,parallela
50,56,360,4-5-6-5-4,101.79589468389949,85.94845356715713,parallela
50,58,400,4-5-6-5-4,98.09573662592291,83.96036297108184,perpendicolare
50,60,400,4-5-6-5-4,99.4602447854375,85.18923048454133,perpendicolare
51,60,500,4-5-6-5-4,99.4602447854375,85.18923048454133,perpendicolare
51,63,500,4-5-6-5-4,90.79781847254617,83.52980021920982,parallela
51,63,550,4-5-6-5-4,90.79781847254617,83.52980021920982,parallela
30,33,350,6-7-8-9-8-7-6,96.86349179857251,89.49460598986377,parallela
30,36,170,6-7-8-9-8-7-6,100.3514083110324,87.56076026305179,parallela
30,36.5,230,6-7-8-9-8-7-6,100.9327277297757,88.10292360003861,parallela
30,36.5,250,6-7-8-9-8-7-6,100.9327277297757,88.10292360003861,parallela
40,42.6,240,5-6-7-8-7-6-5,100.13569013377062,80.84393686063518,perpendicolare
50,60,410,4-5-6-5-4,99.4602447854375,85.18923048454133,perpendicolare
50,60,460,4-5-6-5-4,99.4602447854375,85.18923048454133,perpendicolare
51,59,420,4-5-6-5-4,98.77799070568021,84.57479672781159,perpendicolare
51,63,300,4-5-6-5-4,90.79781847254617,83.52980021920982,parallela
