d_int,d_est,lungh,compo_fascio
30,36,210,6-7-8-9-8-7-6
33,35,720,6-7-8-9-8-7-6
33,40,500,5-6-7-8-7-6-5
33,44,126,5-6-7-8-7-6-5
38,44,593,5-6-7-8-7-6-5
38,46,593,5-6-7-8-7-6-5
50,64,260,4-5-6-5-4
50.2,60,210,3-4-5-4
50.2,60,210,4-5-6-5-4
51,55,450,4-5-6-5-4
51,55,650,4-5-6-5-4
33,36,220,6-7-8-9-8-7-6
33,37,225,6-7-8-9-8-7-6
38,50,330,5-6-7-8-7-6-5
50,52.6,150,4-5-6-5-4
50,56,400,4-5-6-5-4
26,30,500,6-7-8-9-8-7-6
26,30,700,6-7-8-9-8-7-6
30,36.5,220,6-7-8-9-8-7-6
33,38,280,6-7-8-9-8-7-6
33,44,332,5-6-7-8-7-6-5
45,49,140,5-6-7-8-7-6-5
50,58,350,4-5-6-5-4
50,60,300,4-5-6-5-4
50,64,300,4-5-6-5-4
50.2,60,400,4-5-6-5-4
51,55,350,4-5-6-5-4
51,61,520,4-5-6-5-4
77,89,600,3-4-3
33,36,222,6-7-8-9-8-7-6
33,42,330,5-6-7-8-7-6-5
41,45,500,5-6-7-8-7-6-5
50,56,500,4-5-6-5-4
50,58,300,4-5-6-5-4
50.2,60,315,3-4-5-4
50.2,60,315,4-5-6-5-4
30,36.5,300,6-7-8-9-8-7-6
38,49,520,5-6-7-8-7-6-5
38,50,420,5-6-7-8-7-6-5
50,56,360,4-5-6-5-4
50,58,400,4-5-6-5-4
50,60,400,4-5-6-5-4
51,60,500,4-5-6-5-4
51,63,500,4-5-6-5-4
51,63,550,4-5-6-5-4
30,33,350,6-7-8-9-8-7-6
30,36,170,6-7-8-9-8-7-6
30,36.5,230,6-7-8-9-8-7-6
30,36.5,250,6-7-8-9-8-7-6
40,42.6,240,5-6-7-8-7-6-5
50,60,410,4-5-6-5-4
50,60,460,4-5-6-5-4
51,59,420,4-5-6-5-4
51,63,300,4-5-6-5-4
26,30,250,6-7-8-9-8-7-6
26,30,300,6-7-8-9-8-7-6
30,34,100,6-7-8-9-8-7-6
39,47,210,5-6-7-8-7-6-5
40,42.6,330,5-6-7-8-7-6-5
51,59,625,4-5-6-5-4
30,34,300,6-7-8-9-8-7-6
30,35,500,6-7-8-9-8-7-6
30,36.5,350,6-7-8-9-8-7-6
33,38,210,6-7-8-9-8-7-6
33,38,220,6-7-8-9-8-7-6
50,58,250,4-5-6-5-4
30,33,230,6-7-8-9-8-7-6
30,33,300,6-7-8-9-8-7-6
33,38,340,6-7-8-9-8-7-6
33,44,480,5-6-7-8-7-6-5
38,50,650,5-6-7-8-7-6-5
45,49,185,4-5-6-5-4
45,50,500,4-5-6-5-4
50,60,460,4-5-6-5-4
50,60,600,4-5-6-5-4
51,59,470,4-5-6-5-4
60,65,500,4-5-6-5-4
77,83,500,3-4-3
26,30,400,6-7-8-9-8-7-6
30,36.5,270,6-7-8-9-8-7-6
39,47,265,5-6-7-8-7-6-5
50,53.2,470,4-5-6-5-4
50,53.2,630,4-5-6-5-4
33,38,300,6-7-8-9-8-7-6
50,52.6,370,4-5-6-5-4
50,53.2,520,4-5-6-5-4
50,57,460,4-5-6-5-4
50,60,250,4-5-6-5-4
50,60,520,4-5-6-5-4
50.2,60,300,3-4-5-4
50.2,60,300,4-5-6-5-4
51,63,400,4-5-6-5-4
51,64,470,4-5-6-5-4
30,33,127,6-7-8-9-8-7-6
50,60,500,4-5-6-5-4
51,59,610,4-5-6-5-4
51,63,600,4-5-6-5-4
77,89,300,3-4-3
