x,y
1150,881
1040,881
930,881
820,881
710,881
600,881
490,881
380,881
270,881
160,881
50,881
1096,754
986,754
876,754
766,754
656,754
546,754
436,754
326,754
216,754
106,754
1150,627
1040,627
930,627
820,627
710,627
600,627
490,627
380,627
270,627
160,627
50,627
1096,500
986,500
876,500
766,500
656,500
546,500
436,500
326,500
216,500
106,500
1150,373
1040,373
930,373
820,373
710,373
600,373
490,373
380,373
270,373
160,373
50,373
1096,246
986,246
876,246
766,246
656,246
546,246
436,246
326,246
216,246
106,246
1150,119
1040,119
930,119
820,119
710,119
600,119
490,119
380,119
270,119
160,119
50,119
