x,y
7.3,7.22
22.5,7.22
37.7,7.22
52.9,7.22
68.1,7.22
83.3,7.22
98.5,7.22
113.7,7.22
7.3,20.82
22.5,20.82
37.7,20.82
52.9,20.82
68.1,20.82
83.3,20.82
98.5,20.82
113.7,20.82
7.3,34.41
22.5,34.41
37.7,34.41
52.9,34.41
68.1,34.41
83.3,34.41
98.5,34.41
113.7,34.41
7.3,48.0
22.5,48.0
37.7,48.0
52.9,48.0
68.1,48.0
83.3,48.0
98.5,48.0
113.7,48.0
7.3,61.59
22.5,61.59
37.7,61.59
52.9,61.59
68.1,61.59
83.3,61.59
98.5,61.59
113.7,61.59
7.3,75.18
22.5,75.18
37.7,75.18
52.9,75.18
68.1,75.18
83.3,75.18
98.5,75.18
113.7,75.18
7.3,88.78
22.5,88.78
37.7,88.78
52.9,88.78
68.1,88.78
83.3,88.78
98.5,88.78
113.7,88.78
